Plot,Lat,Long,Elev,Slope,Solar,Rock,Bare,Litter,Depth,Burr,pH,Ec,Anthr
1,37.697667,-123.002811,12.1,1,0.82,0.07,0.05,0.12,11.2,0.08,6.7,0.306,4
2,37.697417,-123.000506,9.9,0,0.81,0.06,0.23,0.11,15.8,0.11,6.6,0.5555,2
3,37.697828,-123.000508,13.1,1,0.82,0.25,0.13,0.04,5.3,0.04,4.5,0.454,8
4,37.698381,-123.000294,9.4,8,0.85,0.31,0.1,0,4.9,0,4.4,1.443,1
5,37.698878,-123.000206,18.9,6.5,0.87,0.19,0.11,0.02,9.8,0.11,4.4,1.259,1
6,37.699097,-123.000886,23.4,3,0.79,0.45,0.25,0.05,5.3,0,5.6,8.756,2
7,37.698181,-123.000747,15.6,7,0.89,0.04,0.14,0.02,11.9,0,4.5,0.283,1
8,37.699828,-123.003142,20.8,13,0.72,0.24,0.13,0.02,10.2,0.34,4.1,0.3535,2
9,37.700497,-123.003483,10.2,2,0.78,0.14,0.25,0.02,6.9,0,6.8,0.423,2
10,37.700558,-123.003858,10,3,0.76,0.26,0.33,0.01,4.5,0,5.2,4.005,2
11,37.700161,-123.003922,15,7,0.7,0.02,0.38,0,17.1,0.11,4.4,0.8295,2
12,37.699417,-123.004256,21.1,11,0.86,0.2,0.14,0,4.1,0,4.8,0.883,3
13,37.698942,-123.004656,16.4,2,0.83,0.11,0.05,0,5.1,0.05,5.8,1.454,2
14,37.697908,-123.004608,11.2,0,0.81,0.11,0.07,0.01,6.7,0.2,4.4,1.443,0
15,37.698022,-123.005425,11.4,1,0.82,0.48,0.14,0,4.6,0,4.4,1.443,0
16,37.697811,-123.003883,10.7,3,0.84,0.04,0.13,0,6.7,0.03,4.6,0.328,1
17,37.698475,-123.0042,14.1,1,0.82,0,0.17,0,12.5,0.18,5.3,0.5805,2
18,37.697358,-123.003281,8.7,1,0.82,0.06,0.01,0.01,6.9,0.08,4.2,0.42,4
19,37.696947,-123.002689,8.4,1,0.82,0.02,0.07,0.12,17.7,0.45,4.8,0.602,7
20,37.697944,-123.003231,11.3,0,0.81,0,0.04,0.04,17.7,0.08,5.8,0.5645,2
21,37.696544,-123.001461,9.5,1,0.82,0,0.01,0.1,12.6,0.08,4.6,0.289,2
22,37.696297,-123.002331,7.1,1,0.82,0.04,0.04,0,12.6,0.23,6.9,5.0265,1
23,37.696108,-123.001114,7.8,0,0.81,0,0.02,0.02,11.2,0.11,5.2,0.965,1
24,37.696628,-123.000589,10.4,4,0.78,0.26,0.06,0,9.3,0.01,5,0.6855,3
25,37.696967,-123.00075,10.9,0,0.81,0.04,0.02,0.05,11.4,0.04,4.8,1.0675,5
26,37.697636,-123.001203,14,10,0.93,0.01,0.05,0,9.5,0.29,5,0.1995,1
27,37.697633,-123.001756,14.1,22,1.04,0.05,0.07,0,9.5,0.06,4.6,0.203,2
28,37.6977,-123.002231,12.9,6,0.88,0.11,0.02,0.02,6.9,0.01,5.4,0.106,1
29,37.698042,-123.002769,13.8,3,0.84,0.01,0.3,0,10.3,0.09,4.5,0.359,5
30,37.698353,-123.002608,24.3,17,1,0.12,0.01,0,6.5,0.13,5.2,0.183,1
31,37.698861,-123.002861,38.2,16,0.99,0.07,0.05,0.02,5.9,0.25,4.3,0.593,6
32,37.699014,-123.002469,57.5,32,1.08,0.35,0.04,0,4.4,0.13,4.4,0.398,4
33,37.699108,-123.002189,79.3,40,1.09,0.48,0.1,0.04,4.6,0.04,5,0.86,5
34,37.698775,-123.005028,14.6,3,0.82,0.02,0.26,0,6.8,0,5,1.1885,0
35,37.698522,-123.004683,14.2,1,0.82,0.12,0.14,0,6.7,0,5.7,0.671,1
36,37.699247,-123.003014,45.7,47,0.41,0.46,0.1,0,3.5,0.01,5.1,0.3115,3
37,37.698828,-123.003286,32.2,28,1.07,0.1,0.02,0.02,3.7,0.05,5.8,0.732,1
38,37.698597,-123.003531,20.1,18,1.01,0.31,0.05,0.02,3.7,0.03,5.8,0.5065,6
39,37.698256,-123.003344,13.6,1,0.82,0.05,0.24,0.07,15.8,0.2,5.1,0.4065,4
40,37.696875,-123.001869,13.8,2,0.83,0.08,0.02,0.05,13.3,0.03,5.7,0.2625,1
41,37.697125,-123.001361,13.7,1,0.82,0.05,0.02,0.05,11.4,0.25,5.7,0.1595,3
42,37.699094,-123.001717,98.8,62,0.3,0.64,0.07,0,3.3,0,4.8,1.4035,4
