"Site","Status","Coordinates"
2,"Established site","-123.000506, 37.697417"
4,"Established site","-123.000294, 37.698381"
6,"Established site","-123.000886, 37.699097"
7,"Established site","-123.000747, 37.698181"
8,"Established site","-123.003142, 37.699828"
9,"Established site","-123.003483, 37.700497"
12,"Established site","-123.004256, 37.699417"
15,"Established site","-123.005425, 37.698022"
16,"Established site","-123.003883, 37.697811"
17,"Established site","-123.0042, 37.698475"
19,"Established site","-123.002689, 37.696947"
20,"Established site","-123.003231, 37.697944"
24,"Established site","-123.000589, 37.696628"
28,"Established site","-123.002231, 37.6977"
32,"Established site","-123.002469, 37.699014"
34,"Established site","-123.005028, 37.698775"
38,"Established site","-123.003531, 37.698597"
41,"Established site","-123.001361, 37.697125"
42,"Established site","-123.001717, 37.699094"
43,"New site","-123.002199, 37.699869"
